title,company,experience,location,description,skills,posted
Business Intelligence Analyst(Data Management Specialist),Exxon Mobil Corporation,3-7 Yrs,Bengaluru,Skills and Qualifications . Works closely with Product Management on planning and prior...,"Supply chain, Mining, Product management, Work management, Data management, Simulation, Business analysis, Machine learning",3+ weeks ago
Business Analyst - Client account reference data,Protiviti India,9-14 Yrs,Bengaluru,Preferred candidate profile . Experience: 9+ years as a Business Analyst within banking...,"Reference Data, Business Analysis, Account reference data, client account data, SQL, Python, Accounting, Analysis",2 weeks ago
Associate Business Analyst,Hexaware Technologies,1-4 Yrs,"Bengaluru, Pune, Chennai","Bachelors degree in finance, Accounting, Economics, similarProven experience as a Finan...","microsoft power bi, presentation skills, vlookup, report development, data visualization, forecasting, bi, pivot table",1 week ago
Business Analyst,Wipro,3-6 Yrs,"Bengaluru, Bangalore Rural",Shift Timings 12 PM to 9:30 PM. Years - 3 to 6 years. Key Skills Should be a bachelors ...,"Business Analyst, Requirement Gathering, Dashboards, Dashboard Development, Dashboard creation, Documentation, reporting, Development",2 weeks ago
Business Analyst,Photon,2-6 Yrs,"Bengaluru, Pune, Chennai","Education: Bachelors degree in Business Administration, Finance, Computer Science, or a...","data analysis, sql, tableau, analysis tools, scrum, cbap, project management, data management",3 days ago
BUSINESS PROCESS ANALYST I,TE Connectivity,5-10 Yrs,Bengaluru,"Job OverviewSupports the development and maintenance of procurement systems, tools, and...","data analysis, process analysis, power bi, procurement, reporting tools, six sigma, data management, bi",1 week ago
Salesforce Business Analyst,Wipro,8-12 Yrs,Hybrid - Bengaluru,"preferably in Bangalore, as they will have to connect with other teams for discussion i...","salesforce, Business Analyst, Configuration, Data Analysis, Reporting, Analysis, Data, Business analysis",1 week ago
Business Analyst (QA),Wipro,1-6 Yrs,"Bengaluru, Noida, Gurugram",Key Pointers -We are looking to hire Analyst & Senior Analyst requirement for both Ban...,"Product Testing, Data Analysis, Database Testing, UAT, Testing, DBMS, Analysis, Data",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"project management, business solutions, business analysis, guidewire, data integration, data analysis, data analytics, gap analysis",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"project management, business solutions, business analysis, guidewire, data modeling, data analysis, gap analysis, documentation",1 week ago
Engineering Business Analyst,TE Connectivity,2-4 Yrs,Bengaluru,"BE / B Tech in Electrical, Electronics, Mechanical, Mechatronics, or similar technical ...","cad, cad tools, power bi, technical drawing, salesforce, design documents, data analysis, prototyping",1 week ago
Business Analyst AI & ML,TE Connectivity,6-8 Yrs,Hybrid - Bengaluru(Whitefield),"Candidate Desired Profie: . Bachelors or Master s degree in Information Technology, Com...","Artificial Intelligence, Digital Transformation, Machine Learning, Machine, Digital, Intelligence, Ml, Business analysis",1 week ago
VisionPLUS Business Analyst (Core Banking Systems),Synechron,6-11 Yrs,"Bengaluru, Pune, Chennai",Job SummarySynechron is seeking a skilled VisionPLUS Business Analyst to support busine...,"jcl, cobol, waterfall, cics, vsam, project management, data analysis, data management",2 weeks ago
Business Analyst,Oracle,5-10 Yrs,Hybrid - Bengaluru,Essential Responsibilities for this position are : . 5+ years of O2C experienceProfessi...,"Quote To Cash, Order Management, Analytical, Problem Solving, Data Analysis, Quotation, Data, Order fulfillment",2 weeks ago
Inviting Applications For Business Analyst,Genpact,10-12 Yrs,"Hybrid - Bengaluru, Kolkata, Hyderabad","Ready to shape the future of work? At Genpact, we dont just adapt to changewe drive it...","Solution Design and Implementation, Data Analysis, Business Analysis, Stakeholder Management, SQL, business analysis methodologie, Continuous Improvement, agile methodologies",2 weeks ago
"Associate Staff Consultant, Business Analysis",Nagarro,5-7 Yrs,"Bengaluru, Mumbai (All Areas)",We're Nagarro.We are a Digital Product Engineering company that is scaling in a big way...,"Digital Lending, JIRA, Business Analysis, Agile Methodology, Waterfall, Agile, Sprint, Analysis",1 week ago
Business Analyst,Photon,8-13 Yrs,"Bengaluru, Pune, Chennai","Responsibilities:Elicit, analyze, and document business requirements through various te...","confluence, documentation, presentation skills, business process mapping, jira, cdd, software testing, business analysis",2 days ago
Business Analyst,Photon,3-7 Yrs,Bengaluru,"Bachelors degree in Business Administration, Information Technology, or related field. ...","microsoft office suite, waterfall, visio, agile, jira, trello, cbap, bpmn",3 days ago
Business Analyst,Photon,2-6 Yrs,"Bengaluru, Pune, Chennai","Experience in creating detailed requirements documentation (e.g., user stories, use cas...","cspo, business analysis, user stories, agile, agile methodology, cbap, project management, gap analysis",3 days ago
nCino Business Analyst,"NTT DATA, Inc.",8-10 Yrs,"Bengaluru, Noida","You will use your experience to make informed decisions and prioritize requirements, va...","ncino, financial services, communicational skills, corporate lending, agile methodology, visualforce, sfdc, banking software",1 week ago
Business Analyst,Accenture,3-8 Yrs,Bengaluru,About The Role Project Role :Business AnalystProject Role Description :Analyze an org...,"project management, business solutions, business analysis, business requirement analysis, process mapping, gap analysis, user stories, sql",1 week ago
Business Analyst (Odessa),Emagine Infotech Software,2-5 Yrs,Bengaluru,Role: Odessa Configuration and application support Job Overview: We are seeking an enth...,"end user, written communication, customer service, business analysis, End, Communication skills, Analysis, Usage",1 week ago
Business analyst Conversation Banking (Chat),Capco,8-13 Yrs,"Hybrid - Bengaluru, Pune, Chennai",Awarded with Consultancy of the year in the British Bank Award and has been ranked Top ...,"chatbot, Chatbot and Voicebot implementation, digital tranformation, business analyst, whatsapp, NLU, Natural Language Understanding, Chat-based digital journeys",1 week ago
Lead Business Analyst,Meesho,4-9 Yrs,Bengaluru,BTech / MTech /MBA in any discipline . 4+ years of experience as a Business Analyst . P...,"advance sql, python, sql, advanced excel, statistics, oracle, business management, business analysis",1 week ago
Associate_ Business Analyst _IN_IT_ Services CO_IFS,PwC Service Delivery Center,3-8 Yrs,Bengaluru,"Within an IT Team, Business Analyst act as a bridge between the business stakeholder...","IT services, Business analysis, Business analytics, Disaster recovery, Agile, Continuous improvement, Virtualization, User acceptance testing",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,Minimum . 3 year(s) of experience is required. Educational Qualification : 15 years ful...,"python, documentation, presentation skills, sql, business requirement analysis, sql queries, bi, pyspark",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"business process modeling, project management, business solutions, business analysis, guidewire, gap analysis, documentation, business analytics",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,About The Role Project Role :Business AnalystProject Role Description :Analyze an org...,"business process modeling, business solutions, business analysis, guidewire, information gathering, project management, documentation, user stories",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,About The Role Project Role :Business AnalystProject Role Description :Analyze an org...,"project management, documentation, business analysis, guidewire, stakeholder management, gap analysis, power bi, user stories",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,About The Role Project Role :Business AnalystProject Role Description :Analyze an org...,"project management, business solutions, business analysis, guidewire, stakeholder management, software testing, gap analysis, documentation",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,About The Role Project Role :Business AnalystProject Role Description :Analyze an org...,"project management, business analysis, guidewire, stakeholder management, project delivery, gap analysis, documentation, business solutions",1 week ago
Business Analyst,Accenture,15-20 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"trading, oems, stakeholder management, trade operations, financial markets, middle office, system design, business analysis",1 week ago
Business Analyst,Accenture,12-15 Yrs,Bengaluru,Minimum . 12 year(s) of experience is required. Educational Qualification : 15 years fu...,"project management, business analysis, avaloq, process mapping, project execution, software testing, business modeling, automation testing",1 week ago
Business Analyst - L4,Wipro,5-8 Yrs,Bengaluru,Experience: 5-8 Years . .,"business analysis, change request, user stories, rfi, rfp, client engagement, documentation, test cases",1 week ago
Business Analyst - L4,Wipro,5-8 Yrs,Bengaluru,Experience: 5-8 Years,"project management, software testing, business analysis, change request, root cause analysis, client engagement, documentation, test cases",1 week ago
Business Analyst - L4,Wipro,5-8 Yrs,Bengaluru,Experience: 5-8 Years,"project management, software testing, business analysis, root cause analysis, telco, client engagement, documentation, test cases",1 week ago
Business Analyst - L5,Wipro,8-10 Yrs,Bengaluru,Experience: 8-10 Years . . .,"project management, business analysis, root cause analysis, integration testing, payment domain, client engagement, documentation, test cases",1 week ago
"Business Analyst - II, Selling Partner Support",Amazon,3-8 Yrs,Bengaluru,Experience defining requirements and using data and metrics to draw business insights E...,"Statistical analysis, Workforce management, Business Analyst, Financial analysis, Analytical, Analyst II, data visualization, Business intelligence",1 week ago
SW Business Analysis Associate Manager,Accenture,10-15 Yrs,Bengaluru,This role is to support our North America market and will require shift pattern to supp...,"project management, sap, bps, blackline, r2r, management skills, gap analysis, business analysis",1 week ago
Business Analysis Professional,Capco,8-15 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Must haves - Familiar with Agile lifecycle . Have testing experience . Good with user e...,"Delivery excellence, Business Analyst, Business analysis, Management consulting, Banking, Agile, Manager Technology, Workflow",1 week ago
Business Interlock Analyst,Accenture,3-5 Yrs,Bengaluru,Qualifications: Any Graduation . Years of Experience: 3 to 5 years Skill required: Tale...,"project management, program management, business analysis, scrum, agile, vendor management, team management, microsoft azure",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"documentation, business analysis, business requirement analysis, business process improvement, desktop publishing, business process analysis, process flow, technical hiring",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,"Research, gather and synthesize information. Must have skills : Guidewire DataHub. Good...","business analysis, guidewire, sql, pmt, agile, c#, oracle, performance tuning",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"business process modeling, documentation, business solutions, business analysis, guidewire, project management, gap analysis, business analytics",1 week ago
SW Business Analysis Associate Manager,Accenture,10-14 Yrs,Bengaluru,Qualifications: Any Graduation . Years of Experience: 10 to 14 years Skill required: Te...,"business analysis, order to cash, p2p, software implementation, r2r, project management, gap analysis, change request",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"documentation, business analysis, guidewire, stakeholder management, process modeling, project management, gap analysis, power bi",1 week ago
Business Analyst,Accenture,5-10 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"business analysis, business process analysis, guidewire, agile, agile methodology, project management, gap analysis, documentation",1 week ago
Business Analyst,Accenture,7-12 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"business process modeling, system design, business analysis, business process analysis, guidewire, project management, documentation, business analytics",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,Must have skills : Openlink Endur Functional. Good to have skills : OpenLink Endur,"openlink endur, emission, openlink, waterfall, agile, ctrm, project management, etrm",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"business process modeling, project management, business solutions, business analysis, guidewire, gap analysis, documentation, system design",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,About The Role Project Role :Business AnalystProject Role Description :Analyze an org...,"openlink endur, agile testing, emission, waterfall, agile, project management, automation testing, functional analysis",1 week ago
Business Analyst,Accenture,7-12 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"business analysis, business process analysis, guidewire, impact analysis, agile methodology, project management, gap analysis, documentation",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,About The Role Project Role :Business AnalystProject Role Description :Analyze an org...,"openlink endur, agile testing, business process analysis, waterfall, agile, project management, ctrm, automation testing",1 week ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,Minimum . 5 year(s) of experience is required. Educational Qualification : 1:Any gradua...,"openlink endur, emission, openlink, waterfall, agile, ctrm, project management, etrm",1 week ago
BUSINESS PROCESS ANALYST I,TE Connectivity,4-9 Yrs,Bengaluru,Shift Timing - 12 PM - 9 PM They drive continuous improvement throughout the procuremen...,"power bi, sql, bi development, advanced excel, etl, sql queries, sap, supply chain",1 week ago
Business Intelligence Analyst I,TE Connectivity,4-9 Yrs,Bengaluru,"Good communication skills in English (written and verbal), able to explain technical to...","python, data analysis, numpy, pandas, r, github, amazon redshift, aws sagemaker",1 week ago
Business Operations Analyst-Associate,Qualcomm,3-6 Yrs,Bengaluru,Flexible for evening calls (8PM 11PM IST) for HQ reviews and transition calls on regula...,"data analysis, salesforce, sales operations, advanced excel, business operations, channel sales, business analytics, business development",1 week ago
IN_Manager_Workday Payroll Business Analysts,PwC Service Delivery Center,4-9 Yrs,Bengaluru,"& Summary . Why PWC At PwC, you will be part of a vibrant commu...","Payroll, Change management, Data management, Business analysis, Enterprise architecture, Analytical, Consulting, Agile",1 week ago
"Business Analyst, WHS, Safety Learning and Development Team (SLeD)",Amazon,5-6 Yrs,Bengaluru,Bachelors Degree The Safety Learning and Development (SLeD) team is part of the Worldwi...,"MS Office suite, Root cause analysis, Interpersonal skills, LMS, Ergonomics, data integrity, data visualization, Reporting tools",1 week ago
Business Analyst - Medical Imaging,Citiustech,7-12 Yrs,"Hybrid - Bengaluru, Hyderabad, Mumbai (All Areas)",Required Skills & Qualifications: . 12+ years of experience as a Business Analyst in he...,"Business Analyst, Medical Imaging, clinical imaging, Healthcare Domain, HL7, Dicom, product owner, HIPAA",1 week ago
Business Interlock Analyst,Accenture,3-5 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"project management, business analysis, variance analysis, budgeting, fpa, financial analysis, forecasting, program management",2 weeks ago
Business Interlock Analyst,Accenture,3-5 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"project management, program management, business analysis, delivery management, agile, vendor management, team management, microsoft azure",2 weeks ago
Business Interlock Analyst,Accenture,3-5 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"business analysis, talent development, talent acquisition, recruitment, talent engagement, project management, program management, training",2 weeks ago
Business Interlock Analyst,Accenture,3-5 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"project management, program management, business analysis, scrum, agile, vendor management, team management, microsoft azure",2 weeks ago
Business Analyst,Accenture,15-20 Yrs,Bengaluru,Educational Qualification : 15 years full time education. Summary :We are seeking a Bus...,"document management system, business process improvement, documentation, business analysis, desktop publishing, business requirement analysis, stakeholder engagement, technical specifications",2 weeks ago
Business Advisory Analyst,Accenture,3-5 Yrs,Bengaluru,Skill required: Finance & Accounting - Insurance Claims Years of Experience: 3 to 5 years,"business advisory, accounting, claims, finance, corporate strategy, management consulting, project management, business strategy",2 weeks ago
Business Advisory Analyst,Accenture,3-5 Yrs,Bengaluru,Qualifications: Any Graduation You are genuinely excited about improving the customer e...,"project management, corporate planning, business advisory, business strategy, corporate strategy, management consulting, strategy consulting, business consulting",2 weeks ago
Business Analyst,Accenture,12-15 Yrs,Bengaluru,Educational Qualification : 15 years full time education. Summary :As a Business Analys...,"project management, c insurance, business requirement analysis, workflow analysis, duck creek, software testing, business solutions, business analysis",2 weeks ago
Business Analyst,Accenture,15-20 Yrs,Bengaluru,Educational Qualification : 15 years full time education. Summary :As a Business Analys...,"business process modeling, project management, business solutions, business analysis, guidewire, gap analysis, documentation, business analytics",2 weeks ago
HCM Business Advisory Analyst,Deutsche Bank,2-6 Yrs,Bengaluru,HCM Business Advisory supports HR strategies and initiatives across the bank. It is als...,"oracle, business advisory, servicenow, hcm, oracle peoplesoft, accounts receivable, accounts payable, erp",2 weeks ago
Business Analyst - L5,Wipro,8-10 Yrs,Bengaluru,Experience: 8-10 Years . . .,"project management, software testing, business analysis, change request, root cause analysis, retail banking, client engagement, documentation",2 weeks ago
FS-RC-BT INS-Business Analyst/Consultant,EY,3-8 Yrs,Bengaluru,"Join us and build an exceptional experience for yourself, and a better working world fo...","insurance processing, Assurance, Competitive analysis, Project management, Analytical, Consulting, Manager Technology, Market research",2 weeks ago
Analyst - Business Consulting,EY,2-5 Yrs,Bengaluru,. Graduate fresher with good communcation skills and analytical abilities Qualification...,"Manager Internal Audit, Assurance, Operational excellence, Data modeling, Analytical, risk consulting, Agile, Business strategy",2 weeks ago
Business Analyst,Accenture,5-10 Yrs,Bengaluru,Project Role :Business AnalystProject Role Description :Analyze an organization and des...,"bpmn, process analysis, business process analysis, guidewire, uml, business process modeling, project management, project documentation",2 weeks ago
Appian Business Analyst,e Labs Infotech Pvt Ltd,5-10 Yrs,"Hybrid - Bengaluru, Hyderabad, Pune",Requires 5+ years of BPM experience with 1+ years in Appian-led progra . Lead Appian Bu...,"Appian, Appian Bpm, Business Analysis, Business process management, Analysis",1 week ago
Data Analytics Business Analyst Lead - Finance and Corp. Processes,Solventum,7-12 Yrs,Bengaluru,". Design & Deliver Solutions : Analyze complex requirements, gather essential data, and...","Business Analyst Lead, lead finance, SAP, Data modeling, Consulting, System integration, Pega, Business intelligence",3 weeks ago
Compliance-Analyst-Business Unit Compliance,Goldman Sachs,1-4 Yrs,Bengaluru,"Our division prevents, detects and mitigates compliance, regulatory and reputational r...","Manager Internal Audit, Analytical, Relationship building, Wellness, HTML, Investment banking, Investment management, Risk management",3+ weeks ago
Compliance-Bengaluru-Analyst-Business Unit Compliance,Goldman Sachs,5-10 Yrs,Bengaluru,"QUALIFICATIONS & SKILL SETS . o Bachelor s Degree o 5+ years experience in Compliance, ...","Manager Internal Audit, Usage, Risk assessment, Analytical, Wellness, HTML, Investment banking, Investment management",3+ weeks ago
Walk-In Fresher's/Expr-MIS Executive/Reporting/Ops/MIS Data Analyst,Wisdom Bridge Consultants,0-2 Yrs,"Bengaluru, Hosur, Kanakapura, Devanahalli, Mysuru, Nelamangala, Hosakote, Bangalore Rural, Ramanagara","Contact Aswini -8147492898, 080-49546910, 8123119479 Walk-in any Freshers 2018-2025 for...","MIS Operations, Advanced Excel, MIS Reporting, VLOOKUP, Data Validation, MIS Preparation, Business Intelligence, Data Engineering",1 week ago
Data Analyst,ti Steps,0-2 Yrs,"Bengaluru, Hyderabad, Chennai","Requirements: . - Bachelors degree in Data Analytics, Statistics, or related field. - P...","Power Bi, Tableau, Data Analytics, SQL, Python, Excel, Statistics, Data analysis",3 weeks ago
Winfrox Hiring Remote Data Analysts,Digital Solution Tech,0-4 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","Whether you re a fresher or have up to 4 years of experience, we welcome you to apply f...","Data analysis, tableau, Usage, Excel, data manipulation, Analytical, power bi, Data Analyst",3+ weeks ago
Senior Financial Analyst,Cambium Networks,0-2 Yrs,Bengaluru,Coordinate and manage GST audits as requiredProficiency in accounting software and MS E...,"Financial Statements, Financial Analysis, US GAAP, General Ledger, IFRS, Accounting, General Ledger Management, Taxation",3 weeks ago
Data Analyst,Acciojob,0-1 Yrs,Bengaluru,"Required Skills : SQL, Power BI, Problem Solving, Aptitude, ExcelGraduation Year: 2024,...","Aptitude, Excel, Power Bi, Problem Solving, SQL, Data analysis, Bi, Data",3+ weeks ago
Data Analyst Intern (UnPaid),Saveo,,Bengaluru,,,Starts in 1-3 months
Data Analyst,Sutara Learning Foundation,0-1 Yrs,Bengaluru(Bannerghatta Road),"Experience with BI / visualization tools (Looker, Tableau, Power BI, or similar)Experie...","Power Bi, Data Analysis, Tableau, Data Analytics, SQL, s, data, Bigquery",2 weeks ago
Sales Data Analyst,Talent Corner Hr Services,0-5 Yrs,Bengaluru,"Sales Pitch & Presentation, Client Call Engagement, Lead Understanding & Coordination, ...","Sales Pitch, Presentation Skills, Documentation And Reporting, Lead Generation, Client Interaction, sales, CRM, Leadership",1 week ago
Data Analyst,Leading Client,0-2 Yrs,Hybrid - Bengaluru,"Data Analytics Engineer Fresher/Experienced The role involves developing data models, c...","Data Analysis, Data Science, Data visualizations, Data Analytics, Data, Analysis, Analytics, Data Visualization",1 week ago
Data Analyst,Bayone Solutions,0-3 Yrs,Bengaluru,"Required Skills : . Power BI (Desktop & Service), DAX, PLX Dashboard / Script . SQL, My...","Data modeling, KPI, MySQL, power bi, Server management, Data Analyst, data visualization, Customer engagement",3+ weeks ago
Clinical Data Analyst- Internship With Stipend- Pharma/BDS/ Lifescienc,Clininfotech,0-1 Yrs,"Bengaluru, Hyderabad/Secunderabad, Pune",Should have knowledge in Clinical Data Management Should have good knowledge in edit ch...,"Clinical research, Internship, Pharma, Clinical Data Management, Biotechnology, Pharmaceutics, Microbiology, Pharmacology",1 week ago
Data Analyst,Augie,0-3 Yrs,Bengaluru,Responsible for co-ordinating data with other teams with proper understanding of the da...,"Market analysis, Usage, Excel, Data collection, Database, Data Analyst, data visualization, Troubleshooting",3+ weeks ago
Internship Junior Data Analyst,Rezultize,0-1 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","Basic proficiency with data analysis tools (e.g., Excel, SQL, Python, R) is preferredHa...","Computer science, Data analysis, Analytical, Data collection, Market research, Customer engagement, Internship, SQL",3+ weeks ago
Data Analyst,Karmanx,0-1 Yrs,Bengaluru,"Qualifications . Analytical Skills, Data Analytics, and Statistics . Strong Communicati...","Analytical skills, Data analysis, data science, Data modeling, HTML, Data analytics, Data Analyst, Mathematics",3+ weeks ago
Data Analyst,Digital Glyde,0-3 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","Bachelor s degree in a quantitative field (e.g., Statistics, Mathematics, Economics) or...","Data analysis, Excel, Statistical analysis, Analytical, power bi, data integrity, Data Analyst, data visualization",3+ weeks ago
Data Analyst (IoT),Log9 Materials,0-6 Yrs,Bengaluru,Work Type: Full Time . Qualifications . Master s or Bachelors degree in a relevant fiel...,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools",3+ weeks ago
Data Verification Analyst,Foundation Ai,0-5 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Foundation AI is looking for Data Verification Analyst to join our dynamic team and emb...,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago
Data Analyst Intern,Signzy,,Bengaluru,,,Starts in 1-3 months
Data Analyst,Boss Wallah,0-1 Yrs,Bengaluru,0-1 years of experience in a data analysis role (Freshers welcome) . Bachelor s degree ...,"Computer science, SQL queries, Data analysis, Malayalam, Analytical, Programming, power bi, Data Analyst",2 weeks ago
Data Analyst,Bombay Play,0-3 Yrs,Bengaluru,"Flexible timing and work from home daysKnowledge of applied mathematics, statistical me...","C++, Analytical, Machine learning, Javascript, Data Analyst, Open source, Statistics, Analytics",3+ weeks ago
TARIFF DATA ANALYST,Innover Digital,0-5 Yrs,Bengaluru,"including preferred methods and measurements, processes, costs, supplier quality contro...","Supply chain, IT services, Trade, Management systems, Project management, Data Analyst, trade operations, Continuous improvement",3+ weeks ago
Sr. Business Analyst,EXL,8-13 Yrs,Hybrid - Bengaluru,May be required to support change management activities spanning from early change plan...,"Relationship Management, Business Development, strategy, Business Analysis, banking, Stakeholder Management, Analysis, Relationship",1 day ago
Senior Business Analyst,Expian Technologies,6-11 Yrs,Bengaluru,Working with software engineers and other cross-functional roles as required throughout...,"Business Analytics, Requirement Gathering, User Stories, Project Management, Stakeholder Management, End To End, BRD, Gherkin",1 day ago
Senior Workday Business Analyst - Workday & ServiceNow,Sadup Soft,10-12 Yrs,Remote,"We are hiring a Senior Workday Business Analyst with 10+ years of experience, specializ...","Workday HCM, Business Analysis, ServiceNow, Workday Financials, CMDB, UAT, Business Process Analysis, SQL",1 day ago
Senior Business Analyst II & Lead Business Analyst,Inxite Out,5-10 Yrs,Remote,"Proficiency with SQL querying and board management like Jira, Azure DevOpsTranslate bus...","Warehouse Design, Requirement Gathering, Documentation, Data Modeling, Analytics, Power BI / Tableau, AI/ML, leadership",1 day ago
Senior Business Analyst / QA Lead,acesoft,6-8 Yrs,Hybrid - Bengaluru,Roles & Responsibilities: 6+ years of experience as a Business Analyst in web-based app...,"Business Analyst, Manual Testing, QA, B2B, B2C, Spider, AEM, JIRA",1 day ago
Senior Business Analyst / QA Lead,Acesoft Labs India Pvt.Ltd,6-10 Yrs,Hybrid - Bengaluru,Roles & Responsibilities: 6+ years of experience as a Business Analyst in web-based app...,"QA Analysis, AEM, Functional Testing, Business Analysis, Stibo, Wordpress, Spider, Adobe Experience Management",1 day ago
Senior Business Analyst,Airbnb,5-9 Yrs,Bengaluru,"Graduate in Economics, Business, Engineering, or other quantitative fieldsFirst hand ex...","Tableau, SQL, Stakeholder Management, Data Visualization, Dashboards, Business analysis, Senior, Management",1 day ago
Senior Oracle EPM Cloud Business Analyst,Kiba Labs,4-6 Yrs,Remote,Job Title: Senior Oracle EPM Cloud Business Analyst Experience Required: 4–6 years Loc...,"Oracle EPM Cloud, Oracle Fusion Financials, EPM Automation Tools, Financial Planning & Analysis, Business Analysis & Requirement Gathering, Budgeting, Forecasting & Variance Analysis, Forecasting",1 day ago
Senior Business Analyst,Meesho,2-4 Yrs,Bengaluru,Research and implement cost reduction opportunities . Must have skills . /MBA in any di...,"advance sql, python, business analysis, sql, advanced excel, project management, business management, business analytics",2 days ago
Business Analyst - Transaction Analysts,Transaction Analysts,3-8 Yrs,Bengaluru,"Note : Expect a good candidate with subject knowledge, year of experience is not mandatory","Business Analyst, Business analysis, Project management, Manager Technology, User acceptance testing, Monitoring, User acceptance, GUI testing",3+ weeks ago
Senior Salesforce Business Analyst,Nivasoft,3-5 Yrs,Bengaluru,Key Responsibilities: Requirement Gathering & Analysis Engage with stakeholders to unde...,"CPQ, Service Cloud, Sales Cloud, Salesforce, Regression Testing, Requirement Gathering, UAT Testing, Flows",1 day ago
Senior Salesforce Business Analyst,Nivasoft,3-8 Yrs,Bengaluru,Key Responsibilities: Requirement Gathering & Analysis Engage with stakeholders to unde...,"Salesforce, CPQ, Service Cloud, Cloud, Data Management, Sales Cloud, Experience Cloud, Sales",1 day ago
Senior Lead Business Analyst,Infinite,8-13 Yrs,Bengaluru,"CBAP, PMI-PBA, or Agile-related certifications preferred. . Proficiency in requirements...","Site integration, Lead Business Analyst, HIPAA, Agile, Radiology, Healthcare, Gap analysis, JIRA",1 day ago
Senior D365 F&O Business Analyst,Acesoft,6-10 Yrs,Bengaluru,"Hi all, We are hiring for the role Senior D365 F&O Business AnalystExperience: 6 - 10 Y...","Business Analyst, Dynamics, data warehousing, Senior D365 F&O, Databricks, training, Supply Chain Management, data migration",1 day ago
Business Analyst Sr,Acesoft Labs India Pvt. Ltd.,5-8 Yrs,"Bengaluru, Hyderabad",Type of Interviews 1 to 2 rounds Mode of Interview: Virtual Round (Zoom Interview) Pref...,"business analysis, process improvement, metrics development, cost/benefit analysis, Service Layer, UiPath, Agile Methodology, Project Management",1 day ago
R2R Analyst,Manpower group,0-4 Yrs,Bengaluru,"Roles and ResponsibilitiesPrepare accurate and timely financial reports, including bala...","R2R Process, Record To Report, Record To Report R2R, Reporting, Process, R2R",4 days ago
Senior Healthcare Research & Data Analyst,Clarivate,5-10 Yrs,Bengaluru,"Experience in MS 365 platform including related tools: SharePoint, Power Apps, Power Au...","power bi, sharepoint, market research, powerapps, competitive analysis, financial analysis, data analysis, forecasting",2 weeks ago
Intercompany Analyst,ABB,0-1 Yrs,Bengaluru,Qualifications for the role . You are immersed in working with SAP. Ability to demonstr...,"accounts payable, sap, journal entries, p2p, financial reporting, fixed assets, accounts receivable, general ledger accounting",3+ weeks ago
