title,company,experience,location,description,skills,posted
Analyst,Merkle B2b,0-2 Yrs,"Bengaluru, Mumbai, New Delhi, Pune, Chennai, Gurugram",Flexible to work across different time zones / shifts (including night shift) . Educati...,"Analytical skills, Training, Basic, Excel, Senior Analyst, Social media, MS Office, Digital marketing",3+ weeks ago
Analyst,Merkle B2b,0-2 Yrs,Bengaluru,"Internship or academic project in data analytics, machine learning, or database systems...","Computer science, Coding, Machine learning, Agile, Data structures, JIRA, Internship, Analytics",2 weeks ago
Analyst - Angular,Deloitte Consulting,0-4 Yrs,Bengaluru,"Deloitte South Asia LLP Y our potential, unleashed. I...","Automation, Data management, Performance management, Analytical, Machine learning, Javascript, Workflow, Business intelligence",3+ weeks ago
Analyst,Grant Thornton India Pvt Ltd,0-5 Yrs,"Bengaluru, Kolkata",Conduct and interact with US team via Skype call in order to enhance good relationships .,"Training, Service delivery, Basic, Interpersonal skills, Senior Analyst, People management skills, Project management, Analytical",3+ weeks ago
Fresher - Analyst,Quantum Leap Consulting,0 Yrs,Bengaluru,Should have completed Graduation without any backlogs,"Communication Skills, Analysis",2 weeks ago
Senior FP&A Analyst,Skillz,3-6 Yrs,Bengaluru,ability to build new models from scratch. . ability to retrieve and analyze data from ...,"Health insurance, SAN, operational support, Financial planning, Management consulting, Investment banking, Budgeting, microsoft",4 days ago
EPM Analyst (EPBCS),Verifone,3-4 Yrs,Bengaluru,Provide end user support and problem-solving solutions. . Proficient in EPM Automate sc...,"Management accounting, Data management, Reconciliation, Consulting, Financial planning, Application development, Budgeting, Troubleshooting",5 days ago
Senior FP&A Analyst,Allegion,4-6 Yrs,Bengaluru,"4-6 years of experience in FP&A, financial analysis, preferably in a multinational corp...","ERP, SAP, US GAAP, Financial reporting, Financial analysis, Financial planning, Navision, Budgeting",1 week ago
Analyst,Wipro,1-4 Yrs,Bengaluru,Role Overview:Assist in calculation of State and Foreign tax withholdingAssist in revie...,"project management, operations management, process documentation, digital transformation, finance, financial analysis, data analysis, team management",1 week ago
GN - SONG - MT - Hyperpersonalization - Analyst.,Accenture,2-7 Yrs,Bengaluru,Experience:Overall experience of 2+ years with at least 1 year of experience in the Ban...,"project management, data analysis, fintech, sales, marketing, risk management, management skills, business analysis",1 week ago
PPSM Analyst,Accenture,3-5 Yrs,Bengaluru,Qualifications: Any Graduation / Master of Business Administration / Post Graduate Dipl...,"service operations, accounting, business administration, r2r, finance and accounts, financial analysis, project management, data analysis",1 week ago
Analyst,Uniqus,0-3 Yrs,Bengaluru,"Job_Description"":"" Job Summary We are looking for enthusiastic and motivate...","Analytical skills, risk compliance, Risk advisory, Excel, Financial reporting, Risk control, Accounting, Senior Analyst",3 weeks ago
Analyst - L3,Wipro,3-5 Yrs,Bengaluru,Experience with technical support tools and softwareExperience: 3-5 Years,"training and development, hrsd, job description, recruitment, thunderhead, financial analysis, screening, employee relations",1 week ago
Analyst,Wipro,1-3 Yrs,Bengaluru,"Candidate must be a Post Graduate or C.A., with knowledge of accounting and finance Can...","partnership tax, private equity, accounting, taxation, ca, financial analysis, us tax, us gaap",1 week ago
Analyst - L3,Wipro,3-5 Yrs,Bengaluru,Experience working with large datasets and complex data systemsExperience: 3-5 Years . .,"kubernetes, openshift, ansible, java, jenkins, financial analysis, investment banking, redhat linux",1 week ago
Analyst - L3,Wipro,3-5 Yrs,Bengaluru,,"redhat openshift, docker, devops, aws, digital transformation, financial analysis, kubernetes, openshift",1 week ago
PPSM Analyst,Accenture,3-5 Yrs,Bengaluru,Qualifications: Any Graduation / Master of Business Administration / Post Graduate in a...,"data analysis, accounting, master data management, business administration, finance and accounts, financial analysis, project management, service operations",1 week ago
FP&A Opex Analyst,TE Connectivity,3-8 Yrs,Bengaluru,"Proficient knowledge of SAP, Hyperion (HFM advantage and MS Office (Excel) Educational ...","data analysis, sap, accounting, hfm, hyperion, financial analysis, forecasting, hyperion essbase",1 week ago
OneStream Analyst,Grant Thornton India Pvt Ltd,1-2 Yrs,"Bengaluru, Kolkata",We are seeking a motivated and detail-oriented OneStream Analyst to support the impleme...,"Analyst, ERP, Financial reporting, Reconciliation, business rules, Budgeting, Troubleshooting, Continuous improvement",2 weeks ago
Cybersecurity Specialist / Analyst,ti Steps,0-2 Yrs,"Bengaluru, Hyderabad, Chennai","Requirements: . - Bachelors degree in Cybersecurity, IT, or related field. - Basic unde...","Ethical Hacking, Communication Skills, Cyber Security, Analytical, IT Security, Cyber, Analytics, Hacking",3 weeks ago
Analyst GSOC,Saks Global,1-5 Yrs,Bengaluru,"Experience in forensic investigation, loss prevention, retail theft prevention or asset...","Cctv Monitoring, Alarm Monitoring, Asset Protection, Surveillance, Physical Security, Command Center, Incident Reporting, Command",2 days ago
Analyst,Sisa Information Security,2-4 Yrs,Bengaluru,"Good understanding on OWASP Top 10, SANS CWE Top 25, NIST standards. . Good written and...","remediation, Testing tools, OWASP, Programming, PHP, NMAP, Mobile testing, Android",5 days ago
Analyst,Wipro,1-4 Yrs,"Bengaluru, Gurugram","Awareness of Agents Banks, Trustees and Custodian role in supporting Private Credit. St...","geneva, accounting, asset servicing, technical support, digital transformation, financial analysis, investment banking, hedge funds",1 week ago
EDR Analyst,Capgemini,4-9 Yrs,"Hybrid - Bengaluru, Pune, Mumbai (All Areas)","Proven experience in configuring, managing, and monitoring endpoint security solutions ...","Configuration and Management, Crowdstrike, Ms Defender, Carbon Black, Tanium, Microsoft Defender Firewall, Threat Hunting, Tanium Enforce",1 week ago
Analyst - L3,Wipro,3-5 Yrs,Bengaluru,. We are looking for a skilled Technical Support professional with 3-5 years of experie...,"technical support, kubernetes, python, project management, operations management, team management, maven, docker",1 week ago
Analyst - L3,Wipro,3-5 Yrs,Bengaluru,We are looking for a skilled Technical Support professional with 3-5 years of experienc...,"matlab, technical support, troubleshooting, matlab simulink, technical documentation, targetlink, simulink, c++",1 week ago
LEC- Analyst,JPMorgan Chase Bank,1-6 Yrs,Bengaluru,Shift Timing: 12 Noon to 9pm,"Financial statements, US GAAP, Financial reporting, MS Access, Financial analysis, GAAP, User acceptance testing, Financial services",1 week ago
Analyst,Wipro,1-3 Yrs,Bengaluru,"Candidate must be a Post Graduate or C.A., with knowledge of financeCandidates must hav...","customer service, performance reporting, process compliance, financial reporting, financial statements, project management, private equity, process documentation",1 week ago
Analyst,Wipro,1-3 Yrs,Bengaluru,Very good understanding of Financial Accounting. . General understanding of Capital Mar...,"process compliance, technical support, private equity, operational excellence, capital market, project management, valuation, digital transformation",1 week ago
Analyst,Wipro,1-3 Yrs,Bengaluru,Role PurposeThe purpose of the role is to provide effective technical support to the pr...,"process compliance, private equity, capital market, fund accounting, financial statements, technical support, valuation, operational excellence",1 week ago
Analyst,Wipro,1-4 Yrs,Bengaluru,The purpose of the role is to provide effective technical support to the process and ac...,"customer service, technical support, process compliance, troubleshooting, operational excellence, project management, operations management, team management",1 week ago
Analyst,Wipro,1-3 Yrs,Bengaluru,Experience: 1-3 Years,"customer service, hedge funds, accounting, financial accounting, financial statements, project management, private equity, capital market",1 week ago
Controllership Analyst,Accenture,3-5 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Controllership - BlackLine Account Recon...,"balance sheet, service operations, blackline, general ledger, controllership, financial analysis, general accounting, variance analysis",2 weeks ago
Analyst,Wipro,1-4 Yrs,Bengaluru,Support process by managing transactions as per required quality standards Lists the co...,"customer service, technical support, process compliance, troubleshooting, operational excellence, project management, operations management, team management",2 weeks ago
Analyst - PAS WKFA - NAT - CNS - PC,EY,2-3 Yrs,Bengaluru,"Qualification . A graduate and / or post graduate degree, preferably MBA or PGDM . Cand...","NAT, Service delivery, Assurance, Quality standards, Operational excellence, Client servicing, Focus, Agile",2 weeks ago
Analyst,Center Study Science Technology Policy,0-1 Yrs,Bengaluru,. Aid in monitoring and evaluating the effectiveness of implemented programmes and maki...,"Data analysis, Environmental science, Literature, Analytical, Research, Resource management, MS Office, Application Analyst",3+ weeks ago
Analyst,Seekho Ai,0-4 Yrs,Bengaluru,"Experience: 1+ years of experience in SQL queries, data visualization, and business ana...","Analytical skills, management information system, Excel, Business analysis, MIS, Business analytics, Market research, data visualization",3+ weeks ago
Date Analyst (Unpaid),Saveo,0-2 Yrs,Bengaluru,"Bachelors degree program in Finance, Accounting, Business, or a related field . Strong ...","Procurement, Supply chain, Risk assessment, Analytical, Pharmacy, Pharma, Manager Technology, Customer retention",3+ weeks ago
Analyst,Center Study Science Technology Policy,0-2 Yrs,Bengaluru,. Masters or Bachelors degree in engineering,"Economics, Chemical, Literature, Simulation, Analytical, Mechanical, Data collection, Application Analyst",3+ weeks ago
All Rounder Analyst,Alchmi Growth Services,0-3 Yrs,Bengaluru,"Strong analytical abilities, excellent communication skills, and experience in market r...","Excel, Senior Analyst, Analytical, Competitor analysis, Market research, Research, Analysis, Analytics",3+ weeks ago
Thermal 1D simulation analyst,Volvo,3-8 Yrs,Bengaluru,Join our design shift that leaves society in good shape for the next generation Join ou...,"CFD, Thermodynamics, Fluid mechanics, Automation, Simulation, Senior Analyst, Construction equipment, thermal",1 week ago
finanacial Analyst,Diageo India,2-3 Yrs,Bengaluru,Looking for immediate joiners intrested candidates please share resume to airpula.d@tws...,"cashflow, P&lL Account, Gross profit Ratio, Advance Excell, Analysis, Excel, P, Cash flow",3 days ago
Analyst,Please connect with me for client details,1-3 Yrs,Bengaluru,Please note this role is 1 year contract role for OTC (Order to Cash) with SAP. Only Im...,"SAP, Cash Applications, OTC, Order To Cash, Accounts Receivable, Dispute Management, Cash Apps, Receivable",2 weeks ago
Analyst,Please connect with me for client details,2-6 Yrs,Bengaluru,Candidates okay with Contract role alone should apply . .,"AML, KYC, Transaction Monitoring, CDD, QC, screening, Sanction Screening, EDD",2 weeks ago
eCatalog Analyst,Thermo Fisher Scientific India,1-3 Yrs,Bengaluru,Minimum Requirements / Qualifications: Bachelor of Arts or Bachelor of Science degree B...,"catalog management, Content management, Automation, B2B, Manager Quality Assurance, digital content, Senior Analyst, Process improvement",2 weeks ago
Analyst,Syngene,3-8 Yrs,Bengaluru,"Perform the bioanalytical work including sample processing for method development,...","CRO, Nutrition, Data management, GCP, Pharma, Clinical research, Life sciences, GLP",1 week ago
GN- T&O-Analyst-OA,Accenture,2-4 Yrs,Bengaluru,"BASIC QUALIFICATIONS . Bachelors or Masters degree in Computer Engineering, Computation...","python, machine learning, sql, r, business data analysis, management consulting, data analysis, data analytics",3 weeks ago
Analyst,Wipro,1-3 Yrs,Bengaluru,Skills Required: . Masters Degree (MBA / CFA/CA preferred)Strong proficiency in Microso...,"data analysis, data management, ms office tools, advanced excel, portfolio management, analysts, risk management, mortgage advisors",2 weeks ago
Analyst,Goldman Sachs,1-3 Yrs,Bengaluru,Bachelor s degree in Engineering or Maths . 1-3 years relevant experience .,"Relationship management, Data analysis, Analytical, HTML, Investment banking, Risk management, Analytics, Financial services",3 weeks ago
Analyst,Wipro,2-3 Yrs,Bengaluru,. Desired Candidate Profile: Graduate with 2-3yrs experience within the Accounting and ...,"oracle, accounting, finance function, tableau, fpa, financial analysis, balance sheet, tds",2 weeks ago
CI Analyst,Hitachi Energy,5-10 Yrs,Bengaluru,Bachelor s / master s degree from a reputed university Proficiency in both speaking and...,"Training, Change management, Performance management, Business Analyst, Process improvement, Analytical, Project management, Continuous improvement",3+ weeks ago
Analyst,Unitedlex,1-6 Yrs,Bengaluru,"Bachelor s degree in Computer Science, Information Technology, Engineering (BTech) or M...","Computer science, Senior Analyst, Analytical, Litigation, Intellectual property, Data processing, Workflow, Data quality",2 weeks ago
GA Analyst,Hitachi Energy,3-4 Yrs,Bengaluru,"The General Accounting - Finance Analyst, objective is to set a direction for our Cont...","SAP ECC, Costing, General accounting, Master data management, Accounting, Analytical, Financial Analyst, Cost",3+ weeks ago
Analyst S&OP,Target,2-3 Yrs,Bengaluru,The role is to support Target's supply chain by providing accurate operational forecast...,"python, supply planning, demand planning, sql, r, hive, microsoft power bi, operations planning",1 week ago
Nexthink Analyst,Shashwath Solution,4-9 Yrs,Bengaluru,Build an understanding of business and operational strategies and identify critical met...,"project management, power bi, powershell, troubleshooting, bash scripting, app-v, application packaging, bi",1 week ago
ECG Analyst,Innvocon Learning Solutions,2-4 Yrs,"Bengaluru, Dehradun",. Adhere to Good Clinical Practice (GCP) guidelines and relevant regulatory requirements,"ECG databases, ECG Analysis, ECG Interpretation, Cardiac Recording Analysis, ECG Abnormalities Identification, Holter Monitor Review, Review, Cardiac",1 week ago
SuccessFactors Analyst,FloraFoods Management Pvt. Ltd.,5-10 Yrs,Hybrid - Bengaluru(ITPL),Experience required: 5 to 8 years into EC moduleRequired Skills and Expertise . Proven ...,"Employee Central, Analysis, Successfactors",1 week ago
O2C - Analyst,Placewell1,3-7 Yrs,Bengaluru,Skill required: Order to Cash - Account ReconciliationsDesignation: Order to Cash Opera...,"Order To Cash, OTC, O2C Cash Application, Accounts Receivable, AR Processing, O2C Billing, Cash Applications, Application",1 week ago
Deal Desk Analyst,Adobe,1-5 Yrs,Bengaluru,"Graduate / masters in accounting, business or finance. . At least 1-3 years or more exp...","Quote To Cash, Deal Desk, Order Management, SAAS, Salesforce, SAP, Power BI, Pricing",2 weeks ago
SuccessFactors Analyst,Flora Food Group,1-5 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","We ensure job advertisements are free from unintentional bias, No personal characterist...","project management, apqp, configuration, cmdb, spc, project leadership, business rules, service catalog",1 day ago
Analyst Programmer - .NET (ASP.net & .NET Core),Yokogawa Electric International Pte,3-7 Yrs,Bengaluru,Maintain and improve existing web applications to enhance performance and user experien...,"Coding, Postgresql, Artificial Intelligence, MySQL, ASP.Net, HTML, JSON, MVC",1 day ago
ICP - MS Analyst ( MALE ),Arbro Pharmaceuticals,1-3 Yrs,Bengaluru,Role & responsibilities Preferred candidate profile,"Icp-Ms, Icp-Oes, ICP, Spectrometer, Microsoft",1 day ago
